date,BTCUSDT,ETHUSDT
2021-01-01,29331.69,728.91
2021-01-02,32178.33,774.56
2021-01-03,33000.05,978.28
2021-01-04,31988.71,1041.43
2021-01-05,33949.53,1099.56
2021-01-06,36769.36,1208.42
2021-01-07,39432.28,1224.87
2021-01-08,40582.81,1216.93
2021-01-09,40088.22,1276.0
2021-01-10,38150.02,1254.25
2021-01-11,35404.47,1087.01
2021-01-12,34051.24,1050.16
2021-01-13,37371.38,1129.89
2021-01-14,39144.5,1231.62
2021-01-15,36742.22,1168.53
2021-01-16,35994.98,1227.83
2021-01-17,35828.61,1232.45
2021-01-18,36631.27,1258.45
2021-01-19,35891.49,1365.36
2021-01-20,35468.23,1376.99
2021-01-21,30850.13,1110.96
2021-01-22,32945.17,1232.62
2021-01-23,32078.0,1233.6
2021-01-24,32259.9,1392.51
2021-01-25,32254.2,1317.88
2021-01-26,32467.77,1365.97
2021-01-27,30366.15,1239.03
2021-01-28,33364.86,1329.69
2021-01-29,34252.2,1379.5
2021-01-30,34262.88,1378.05
2021-01-31,33092.98,1312.55
2021-02-01,33526.37,1374.17
2021-02-02,35466.24,1511.87
2021-02-03,37618.87,1664.49
2021-02-04,36936.66,1595.67
2021-02-05,38290.24,1719.19
2021-02-06,39186.94,1676.35
2021-02-07,38795.69,1611.62
2021-02-08,46374.87,1750.15
2021-02-09,46420.42,1769.13
2021-02-10,44807.58,1740.78
2021-02-11,47969.51,1785.62
2021-02-12,47287.6,1840.26
2021-02-13,47153.69,1814.96
2021-02-14,48577.79,1800.42
2021-02-15,47911.1,1779.25
2021-02-16,49133.45,1781.99
2021-02-17,52119.71,1849.88
2021-02-18,51552.6,1939.61
2021-02-19,55906.0,1955.0
2021-02-20,55841.19,1913.0
2021-02-21,57408.57,1933.53
2021-02-22,54087.67,1777.58
2021-02-23,48891.0,1577.89
2021-02-24,49676.2,1623.39
2021-02-25,47073.73,1481.75
2021-02-26,46276.87,1444.59
2021-02-27,46106.43,1458.13
2021-02-28,45135.66,1419.18
2021-03-01,49587.03,1569.86
2021-03-02,48440.65,1486.78
2021-03-03,50349.37,1567.69
2021-03-04,48374.09,1539.23
2021-03-05,48751.71,1528.31
2021-03-06,48882.2,1650.35
2021-03-07,50971.75,1726.16
2021-03-08,52375.17,1833.18
2021-03-09,54884.5,1870.51
2021-03-10,55851.59,1795.12
2021-03-11,57773.16,1825.78
2021-03-12,57221.72,1766.1
2021-03-13,61188.39,1922.35
2021-03-14,58968.31,1848.1
2021-03-15,55605.2,1793.48
2021-03-16,56900.75,1805.12
2021-03-17,58912.97,1823.58
2021-03-18,57648.16,1776.08
2021-03-19,58030.01,1809.1
2021-03-20,58102.28,1806.1
2021-03-21,57351.56,1782.98
2021-03-22,54083.25,1680.97
2021-03-23,54340.89,1668.08
2021-03-24,52303.65,1581.84
2021-03-25,51293.78,1585.74
2021-03-26,55025.59,1698.84
2021-03-27,55817.14,1712.63
2021-03-28,55777.63,1687.01
2021-03-29,57635.47,1816.74
2021-03-30,58746.57,1840.46
2021-03-31,58740.55,1919.37
2021-04-01,58720.44,1968.05
2021-04-02,58950.01,2133.69
2021-04-03,57051.94,2008.52
2021-04-04,58202.01,2075.69
2021-04-05,59129.99,2107.38
2021-04-06,57991.15,2112.21
2021-04-07,55953.45,1963.47
2021-04-08,58077.52,2080.46
2021-04-09,58142.54,2066.87
2021-04-10,59769.13,2133.49
2021-04-11,60002.43,2151.36
2021-04-12,59860.0,2137.69
2021-04-13,63575.0,2299.19
2021-04-14,62959.53,2432.6
2021-04-15,63159.98,2514.04
2021-04-16,61334.8,2422.67
2021-04-17,60006.66,2317.6
2021-04-18,56150.01,2235.64
2021-04-19,55633.14,2161.12
2021-04-20,56425.0,2330.03
2021-04-21,53787.63,2357.06
2021-04-22,51690.96,2397.94
2021-04-23,51125.14,2367.39
2021-04-24,50047.84,2213.35
2021-04-25,49066.77,2320.49
2021-04-26,54001.39,2532.6
2021-04-27,55011.97,2666.13
2021-04-28,54846.22,2748.24
2021-04-29,53555.0,2757.04
2021-04-30,57694.27,2772.42
2021-05-01,57800.37,2944.77
2021-05-02,56578.21,2949.56
2021-05-03,57169.39,3431.04
2021-05-04,53200.01,3239.01
2021-05-05,57436.11,3524.26
2021-05-06,56393.68,3489.73
2021-05-07,57314.75,3479.53
2021-05-08,58862.05,3910.26
2021-05-09,58240.84,3923.95
2021-05-10,55816.14,3945.88
2021-05-11,56670.02,4173.45
2021-05-12,49631.32,3823.21
